project_id,project_name,primary_region,project_complexity,technical_requirements,stakeholder_count,team_size,project_duration,virtual_team_ratio,language_barriers,communication_barriers,prior_collaboration,team_diversity,industry_sector,primary_country,power_distance,individualism,masculinity,uncertainty_avoidance,long_term_orientation,indulgence,project_success,schedule_variance,budget_performance,stakeholder_satisfaction,quality_metrics,team_performance
PROJ-057,Project 57,Africa,5,5,11,3,33,16,5,3,1,High,Healthcare,17,"17   NaN
17   NaN
Name: power_distance, dtype: float64","17   NaN
17   NaN
Name: individualism, dtype: float64","17   NaN
17   NaN
Name: masculinity, dtype: float64","17   NaN
17   NaN
Name: uncertainty_avoidance, dtype: float64","17   NaN
17   NaN
Name: long_term_orientation, dtype: float64","17   NaN
17   NaN
Name: indulgence, dtype: float64",0,0.973659804893345,0.2,0.3,0.25,0.17924398709190237
PROJ-058,Project 58,North America,1,3,40,7,7,72,4,2,2,High,Other,20,"20   NaN
20   NaN
Name: power_distance, dtype: float64","20   NaN
20   NaN
Name: individualism, dtype: float64","20   NaN
20   NaN
Name: masculinity, dtype: float64","20   NaN
20   NaN
Name: uncertainty_avoidance, dtype: float64","20   NaN
20   NaN
Name: long_term_orientation, dtype: float64","20   NaN
20   NaN
Name: indulgence, dtype: float64",1,0.5860571738427535,1.0,0.8593330249195135,1.0,0.79471400457087
PROJ-059,Project 59,North America,5,1,49,25,25,32,2,1,3,High,Other,65,"65   NaN
65   NaN
Name: power_distance, dtype: float64","65   NaN
65   NaN
Name: individualism, dtype: float64","65   NaN
65   NaN
Name: masculinity, dtype: float64","65   NaN
65   NaN
Name: uncertainty_avoidance, dtype: float64","65   NaN
65   NaN
Name: long_term_orientation, dtype: float64","65   NaN
65   NaN
Name: indulgence, dtype: float64",0,0.9381530321897708,0.2,0.3,0.25,0.14437959141470222
PROJ-060,Project 60,North America,4,1,24,28,31,83,1,5,5,Low,Manufacturing,65,"65   NaN
65   NaN
Name: power_distance, dtype: float64","65   NaN
65   NaN
Name: individualism, dtype: float64","65   NaN
65   NaN
Name: masculinity, dtype: float64","65   NaN
65   NaN
Name: uncertainty_avoidance, dtype: float64","65   NaN
65   NaN
Name: long_term_orientation, dtype: float64","65   NaN
65   NaN
Name: indulgence, dtype: float64",1,0.48820585351836226,1.0,0.9035502664778681,1.0,0.7629493698310481
PROJ-061,Project 61,North America,4,3,5,12,13,76,2,4,1,High,Manufacturing,26,"26   NaN
26   NaN
Name: power_distance, dtype: float64","26   NaN
26   NaN
Name: individualism, dtype: float64","26   NaN
26   NaN
Name: masculinity, dtype: float64","26   NaN
26   NaN
Name: uncertainty_avoidance, dtype: float64","26   NaN
26   NaN
Name: long_term_orientation, dtype: float64","26   NaN
26   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.13978811826586787
PROJ-062,Project 62,South America,4,3,12,24,20,91,1,2,1,Low,Technology,57,"57   NaN
57   NaN
Name: power_distance, dtype: float64","57   NaN
57   NaN
Name: individualism, dtype: float64","57   NaN
57   NaN
Name: masculinity, dtype: float64","57   NaN
57   NaN
Name: uncertainty_avoidance, dtype: float64","57   NaN
57   NaN
Name: long_term_orientation, dtype: float64","57   NaN
57   NaN
Name: indulgence, dtype: float64",1,0.6370150450331317,1.0,1.0,1.0,0.7932816419338083
PROJ-063,Project 63,Asia Pacific,4,3,50,7,14,28,4,2,1,Low,Other,24,"24   NaN
24   NaN
Name: power_distance, dtype: float64","24   NaN
24   NaN
Name: individualism, dtype: float64","24   NaN
24   NaN
Name: masculinity, dtype: float64","24   NaN
24   NaN
Name: uncertainty_avoidance, dtype: float64","24   NaN
24   NaN
Name: long_term_orientation, dtype: float64","24   NaN
24   NaN
Name: indulgence, dtype: float64",1,0.8696879185596607,1.0,0.9179357053919348,1.0,0.8831628307664469
PROJ-064,Project 64,Middle East,4,4,20,6,11,12,4,3,1,Low,Finance,1,"1   NaN
1   NaN
Name: power_distance, dtype: float64","1   NaN
1   NaN
Name: individualism, dtype: float64","1   NaN
1   NaN
Name: masculinity, dtype: float64","1   NaN
1   NaN
Name: uncertainty_avoidance, dtype: float64","1   NaN
1   NaN
Name: long_term_orientation, dtype: float64","1   NaN
1   NaN
Name: indulgence, dtype: float64",0,0.9587878757238374,0.2,0.3,0.25,0.15944658664811479
PROJ-065,Project 65,Europe,3,1,18,4,12,45,5,3,1,Medium,Other,46,"46   NaN
46   NaN
Name: power_distance, dtype: float64","46   NaN
46   NaN
Name: individualism, dtype: float64","46   NaN
46   NaN
Name: masculinity, dtype: float64","46   NaN
46   NaN
Name: uncertainty_avoidance, dtype: float64","46   NaN
46   NaN
Name: long_term_orientation, dtype: float64","46   NaN
46   NaN
Name: indulgence, dtype: float64",1,0.9076663167528469,1.0,0.9347761357134632,0.8687720614661081,1.0
PROJ-066,Project 66,North America,2,4,16,22,19,34,2,5,2,Low,Finance,45,"45   NaN
45   NaN
Name: power_distance, dtype: float64","45   NaN
45   NaN
Name: individualism, dtype: float64","45   NaN
45   NaN
Name: masculinity, dtype: float64","45   NaN
45   NaN
Name: uncertainty_avoidance, dtype: float64","45   NaN
45   NaN
Name: long_term_orientation, dtype: float64","45   NaN
45   NaN
Name: indulgence, dtype: float64",1,0.8136183623975561,0.9601679093976039,0.8963679381570684,0.8437345214733921,0.8421359568049002
PROJ-067,Project 67,Africa,4,3,27,12,9,5,5,5,5,Low,Healthcare,21,"21   NaN
21   NaN
Name: power_distance, dtype: float64","21   NaN
21   NaN
Name: individualism, dtype: float64","21   NaN
21   NaN
Name: masculinity, dtype: float64","21   NaN
21   NaN
Name: uncertainty_avoidance, dtype: float64","21   NaN
21   NaN
Name: long_term_orientation, dtype: float64","21   NaN
21   NaN
Name: indulgence, dtype: float64",1,0.7042895165077515,0.9738033563681447,1.0,0.866877020728593,0.8229954447842213
PROJ-068,Project 68,North America,1,1,19,28,15,81,2,1,3,Medium,Other,26,"26   NaN
26   NaN
Name: power_distance, dtype: float64","26   NaN
26   NaN
Name: individualism, dtype: float64","26   NaN
26   NaN
Name: masculinity, dtype: float64","26   NaN
26   NaN
Name: uncertainty_avoidance, dtype: float64","26   NaN
26   NaN
Name: long_term_orientation, dtype: float64","26   NaN
26   NaN
Name: indulgence, dtype: float64",1,0.9370348881026231,0.9492320217534338,1.0,1.0,0.7091697869034195
PROJ-069,Project 69,Africa,1,4,32,21,11,68,5,1,3,Low,Healthcare,9,"9   NaN
9   NaN
Name: power_distance, dtype: float64","9   NaN
9   NaN
Name: individualism, dtype: float64","9   NaN
9   NaN
Name: masculinity, dtype: float64","9   NaN
9   NaN
Name: uncertainty_avoidance, dtype: float64","9   NaN
9   NaN
Name: long_term_orientation, dtype: float64","9   NaN
9   NaN
Name: indulgence, dtype: float64",1,0.8428440191555814,1.0,0.7197699400067282,0.9920921252393649,0.7761466553157333
PROJ-070,Project 70,Middle East,1,4,38,28,29,46,3,5,3,High,Manufacturing,23,"23   NaN
23   NaN
Name: power_distance, dtype: float64","23   NaN
23   NaN
Name: individualism, dtype: float64","23   NaN
23   NaN
Name: masculinity, dtype: float64","23   NaN
23   NaN
Name: uncertainty_avoidance, dtype: float64","23   NaN
23   NaN
Name: long_term_orientation, dtype: float64","23   NaN
23   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.14441972313932616
PROJ-071,Project 71,Middle East,1,3,6,3,4,24,3,5,3,High,Manufacturing,19,"19   NaN
19   NaN
Name: power_distance, dtype: float64","19   NaN
19   NaN
Name: individualism, dtype: float64","19   NaN
19   NaN
Name: masculinity, dtype: float64","19   NaN
19   NaN
Name: uncertainty_avoidance, dtype: float64","19   NaN
19   NaN
Name: long_term_orientation, dtype: float64","19   NaN
19   NaN
Name: indulgence, dtype: float64",0,0.9385817132532693,0.2,0.3,0.25,0.11668709543191753
PROJ-072,Project 72,Middle East,3,1,36,26,7,65,3,4,2,Low,Technology,48,"48   NaN
48   NaN
Name: power_distance, dtype: float64","48   NaN
48   NaN
Name: individualism, dtype: float64","48   NaN
48   NaN
Name: masculinity, dtype: float64","48   NaN
48   NaN
Name: uncertainty_avoidance, dtype: float64","48   NaN
48   NaN
Name: long_term_orientation, dtype: float64","48   NaN
48   NaN
Name: indulgence, dtype: float64",1,0.7114924158187691,0.986113741280533,0.9220219912676868,1.0,0.8974262222128808
PROJ-073,Project 73,Africa,1,3,27,7,31,9,3,3,4,Medium,Other,25,"25   NaN
25   NaN
Name: power_distance, dtype: float64","25   NaN
25   NaN
Name: individualism, dtype: float64","25   NaN
25   NaN
Name: masculinity, dtype: float64","25   NaN
25   NaN
Name: uncertainty_avoidance, dtype: float64","25   NaN
25   NaN
Name: long_term_orientation, dtype: float64","25   NaN
25   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.1497709888889954
PROJ-074,Project 74,North America,4,1,26,15,21,55,1,1,5,High,Healthcare,19,"19   NaN
19   NaN
Name: power_distance, dtype: float64","19   NaN
19   NaN
Name: individualism, dtype: float64","19   NaN
19   NaN
Name: masculinity, dtype: float64","19   NaN
19   NaN
Name: uncertainty_avoidance, dtype: float64","19   NaN
19   NaN
Name: long_term_orientation, dtype: float64","19   NaN
19   NaN
Name: indulgence, dtype: float64",0,0.7684693282247331,0.2,0.3,0.25,0.14479199851333388
PROJ-075,Project 75,Middle East,5,5,29,6,10,29,3,3,1,Medium,Finance,15,"15   NaN
15   NaN
Name: power_distance, dtype: float64","15   NaN
15   NaN
Name: individualism, dtype: float64","15   NaN
15   NaN
Name: masculinity, dtype: float64","15   NaN
15   NaN
Name: uncertainty_avoidance, dtype: float64","15   NaN
15   NaN
Name: long_term_orientation, dtype: float64","15   NaN
15   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.1642114006791693
PROJ-076,Project 76,South America,1,2,26,18,3,4,4,3,4,Medium,Manufacturing,China,80.0,20.0,66.0,30.0,87.0,24.0,1,0.7658954136522206,1.0,1.0,1.0,0.8512499552221517
PROJ-077,Project 77,Africa,3,2,26,26,24,32,4,5,3,High,Manufacturing,3,"3   NaN
3   NaN
Name: power_distance, dtype: float64","3   NaN
3   NaN
Name: individualism, dtype: float64","3   NaN
3   NaN
Name: masculinity, dtype: float64","3   NaN
3   NaN
Name: uncertainty_avoidance, dtype: float64","3   NaN
3   NaN
Name: long_term_orientation, dtype: float64","3   NaN
3   NaN
Name: indulgence, dtype: float64",0,0.8667683866829128,0.2,0.3,0.25,0.15358450334187446
PROJ-078,Project 78,Africa,3,2,46,18,19,64,1,4,4,Medium,Finance,18,"18   NaN
18   NaN
Name: power_distance, dtype: float64","18   NaN
18   NaN
Name: individualism, dtype: float64","18   NaN
18   NaN
Name: masculinity, dtype: float64","18   NaN
18   NaN
Name: uncertainty_avoidance, dtype: float64","18   NaN
18   NaN
Name: long_term_orientation, dtype: float64","18   NaN
18   NaN
Name: indulgence, dtype: float64",1,0.4955440512173317,0.8665196161781024,0.8035034262576408,0.9077567313988522,0.7997398332390983
PROJ-079,Project 79,North America,1,3,10,25,9,17,3,2,5,High,Healthcare,28,"28   NaN
28   NaN
Name: power_distance, dtype: float64","28   NaN
28   NaN
Name: individualism, dtype: float64","28   NaN
28   NaN
Name: masculinity, dtype: float64","28   NaN
28   NaN
Name: uncertainty_avoidance, dtype: float64","28   NaN
28   NaN
Name: long_term_orientation, dtype: float64","28   NaN
28   NaN
Name: indulgence, dtype: float64",1,0.5991265790304574,1.0,0.7552748767923753,1.0,0.8746187407314403
PROJ-080,Project 80,Africa,5,5,19,4,27,95,3,4,1,Medium,Healthcare,33,"33   NaN
33   NaN
Name: power_distance, dtype: float64","33   NaN
33   NaN
Name: individualism, dtype: float64","33   NaN
33   NaN
Name: masculinity, dtype: float64","33   NaN
33   NaN
Name: uncertainty_avoidance, dtype: float64","33   NaN
33   NaN
Name: long_term_orientation, dtype: float64","33   NaN
33   NaN
Name: indulgence, dtype: float64",0,0.6572770641511643,0.2,0.3,0.25,0.15279612810780108
PROJ-081,Project 81,Africa,1,1,47,19,6,48,3,4,1,High,Other,1,"1   NaN
1   NaN
Name: power_distance, dtype: float64","1   NaN
1   NaN
Name: individualism, dtype: float64","1   NaN
1   NaN
Name: masculinity, dtype: float64","1   NaN
1   NaN
Name: uncertainty_avoidance, dtype: float64","1   NaN
1   NaN
Name: long_term_orientation, dtype: float64","1   NaN
1   NaN
Name: indulgence, dtype: float64",1,0.6265690834462744,1.0,0.7844249858886561,0.9266993936723359,0.8302333741763335
PROJ-082,Project 82,Middle East,3,4,41,30,8,10,5,3,5,Low,Other,58,"58   NaN
58   NaN
Name: power_distance, dtype: float64","58   NaN
58   NaN
Name: individualism, dtype: float64","58   NaN
58   NaN
Name: masculinity, dtype: float64","58   NaN
58   NaN
Name: uncertainty_avoidance, dtype: float64","58   NaN
58   NaN
Name: long_term_orientation, dtype: float64","58   NaN
58   NaN
Name: indulgence, dtype: float64",1,0.7933834500013872,1.0,0.8166643304386654,0.9256709997035033,0.634075538161085
PROJ-083,Project 83,North America,2,1,37,29,33,84,2,4,5,High,Technology,41,"41   NaN
41   NaN
Name: power_distance, dtype: float64","41   NaN
41   NaN
Name: individualism, dtype: float64","41   NaN
41   NaN
Name: masculinity, dtype: float64","41   NaN
41   NaN
Name: uncertainty_avoidance, dtype: float64","41   NaN
41   NaN
Name: long_term_orientation, dtype: float64","41   NaN
41   NaN
Name: indulgence, dtype: float64",0,0.9285549038546759,0.2,0.3,0.25,0.13517362003144504
PROJ-084,Project 84,Middle East,4,4,12,22,21,25,5,1,3,High,Manufacturing,39,"39   NaN
39   NaN
Name: power_distance, dtype: float64","39   NaN
39   NaN
Name: individualism, dtype: float64","39   NaN
39   NaN
Name: masculinity, dtype: float64","39   NaN
39   NaN
Name: uncertainty_avoidance, dtype: float64","39   NaN
39   NaN
Name: long_term_orientation, dtype: float64","39   NaN
39   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.1721107955616081
PROJ-085,Project 85,Middle East,3,1,48,26,29,62,2,3,1,High,Other,31,"31   NaN
31   NaN
Name: power_distance, dtype: float64","31   NaN
31   NaN
Name: individualism, dtype: float64","31   NaN
31   NaN
Name: masculinity, dtype: float64","31   NaN
31   NaN
Name: uncertainty_avoidance, dtype: float64","31   NaN
31   NaN
Name: long_term_orientation, dtype: float64","31   NaN
31   NaN
Name: indulgence, dtype: float64",1,0.9489921404087931,1.0,1.0,1.0,0.6706441360832702
PROJ-086,Project 86,North America,1,5,48,14,12,88,3,1,4,High,Healthcare,China,80.0,20.0,66.0,30.0,87.0,24.0,1,0.8913466723938661,1.0,1.0,1.0,0.8234137547113296
PROJ-087,Project 87,Europe,4,4,9,20,28,85,3,2,2,Medium,Finance,46,"46   NaN
46   NaN
Name: power_distance, dtype: float64","46   NaN
46   NaN
Name: individualism, dtype: float64","46   NaN
46   NaN
Name: masculinity, dtype: float64","46   NaN
46   NaN
Name: uncertainty_avoidance, dtype: float64","46   NaN
46   NaN
Name: long_term_orientation, dtype: float64","46   NaN
46   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.15706002435605856
PROJ-088,Project 88,Middle East,1,3,43,5,21,58,5,3,2,Low,Healthcare,64,"64   NaN
64   NaN
Name: power_distance, dtype: float64","64   NaN
64   NaN
Name: individualism, dtype: float64","64   NaN
64   NaN
Name: masculinity, dtype: float64","64   NaN
64   NaN
Name: uncertainty_avoidance, dtype: float64","64   NaN
64   NaN
Name: long_term_orientation, dtype: float64","64   NaN
64   NaN
Name: indulgence, dtype: float64",0,0.6512981091270296,0.2,0.3,0.25,0.15271065474959544
PROJ-089,Project 89,South America,1,1,8,30,5,26,5,2,5,High,Manufacturing,0,"0   NaN
0   NaN
Name: power_distance, dtype: float64","0   NaN
0   NaN
Name: individualism, dtype: float64","0   NaN
0   NaN
Name: masculinity, dtype: float64","0   NaN
0   NaN
Name: uncertainty_avoidance, dtype: float64","0   NaN
0   NaN
Name: long_term_orientation, dtype: float64","0   NaN
0   NaN
Name: indulgence, dtype: float64",1,0.5944453761951091,0.8811513278073568,1.0,1.0,0.7171537231032272
PROJ-090,Project 90,South America,2,1,10,3,15,48,2,3,3,Medium,Healthcare,Kenya,70.0,25.0,60.0,50.0,30.0,40.0,1,0.6786942209838419,1.0,0.7665076043804795,0.894061445619086,0.8909340018105376
PROJ-091,Project 91,Africa,4,4,49,3,30,76,4,5,2,Low,Technology,66,"66   NaN
66   NaN
Name: power_distance, dtype: float64","66   NaN
66   NaN
Name: individualism, dtype: float64","66   NaN
66   NaN
Name: masculinity, dtype: float64","66   NaN
66   NaN
Name: uncertainty_avoidance, dtype: float64","66   NaN
66   NaN
Name: long_term_orientation, dtype: float64","66   NaN
66   NaN
Name: indulgence, dtype: float64",1,0.5659198525742783,1.0,0.8357074821855257,1.0,0.9729891154519836
PROJ-092,Project 92,South America,4,3,36,21,22,32,2,4,1,Low,Manufacturing,65,"65   NaN
65   NaN
Name: power_distance, dtype: float64","65   NaN
65   NaN
Name: individualism, dtype: float64","65   NaN
65   NaN
Name: masculinity, dtype: float64","65   NaN
65   NaN
Name: uncertainty_avoidance, dtype: float64","65   NaN
65   NaN
Name: long_term_orientation, dtype: float64","65   NaN
65   NaN
Name: indulgence, dtype: float64",0,0.9790741786770143,0.2,0.3,0.25,0.1660038432520039
PROJ-093,Project 93,Africa,2,3,34,13,30,97,5,5,5,Low,Finance,35,"35   NaN
35   NaN
Name: power_distance, dtype: float64","35   NaN
35   NaN
Name: individualism, dtype: float64","35   NaN
35   NaN
Name: masculinity, dtype: float64","35   NaN
35   NaN
Name: uncertainty_avoidance, dtype: float64","35   NaN
35   NaN
Name: long_term_orientation, dtype: float64","35   NaN
35   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.16644981431345637
PROJ-094,Project 94,Europe,3,5,39,7,10,98,5,2,4,Low,Technology,9,"9   NaN
9   NaN
Name: power_distance, dtype: float64","9   NaN
9   NaN
Name: individualism, dtype: float64","9   NaN
9   NaN
Name: masculinity, dtype: float64","9   NaN
9   NaN
Name: uncertainty_avoidance, dtype: float64","9   NaN
9   NaN
Name: long_term_orientation, dtype: float64","9   NaN
9   NaN
Name: indulgence, dtype: float64",1,0.45313352057270223,1.0,0.971637779625719,0.9925146614065153,0.7317669370142507
PROJ-095,Project 95,North America,1,3,44,14,3,0,1,4,5,High,Manufacturing,6,"6   NaN
6   NaN
Name: power_distance, dtype: float64","6   NaN
6   NaN
Name: individualism, dtype: float64","6   NaN
6   NaN
Name: masculinity, dtype: float64","6   NaN
6   NaN
Name: uncertainty_avoidance, dtype: float64","6   NaN
6   NaN
Name: long_term_orientation, dtype: float64","6   NaN
6   NaN
Name: indulgence, dtype: float64",1,0.9717538084178539,0.8369326632584737,0.9784731483466882,1.0,0.680390276817562
PROJ-096,Project 96,North America,5,3,20,5,5,20,5,3,4,High,Finance,China,80.0,20.0,66.0,30.0,87.0,24.0,0,1.0,0.2,0.3,0.25,0.15920522190387654
PROJ-097,Project 97,North America,1,3,17,3,15,54,1,4,5,Medium,Technology,60,"60   NaN
60   NaN
Name: power_distance, dtype: float64","60   NaN
60   NaN
Name: individualism, dtype: float64","60   NaN
60   NaN
Name: masculinity, dtype: float64","60   NaN
60   NaN
Name: uncertainty_avoidance, dtype: float64","60   NaN
60   NaN
Name: long_term_orientation, dtype: float64","60   NaN
60   NaN
Name: indulgence, dtype: float64",0,1.0,0.2,0.3,0.25,0.1405250070408385
PROJ-098,Project 98,South America,1,2,46,3,30,5,4,1,5,Medium,Technology,43,"43   NaN
43   NaN
Name: power_distance, dtype: float64","43   NaN
43   NaN
Name: individualism, dtype: float64","43   NaN
43   NaN
Name: masculinity, dtype: float64","43   NaN
43   NaN
Name: uncertainty_avoidance, dtype: float64","43   NaN
43   NaN
Name: long_term_orientation, dtype: float64","43   NaN
43   NaN
Name: indulgence, dtype: float64",1,0.5929575166388854,0.9466896075135487,0.9056606663216962,0.9610582122506962,0.6227389871684179
PROJ-099,Project 99,Europe,3,5,34,10,27,91,2,4,5,Medium,Manufacturing,26,"26   NaN
26   NaN
Name: power_distance, dtype: float64","26   NaN
26   NaN
Name: individualism, dtype: float64","26   NaN
26   NaN
Name: masculinity, dtype: float64","26   NaN
26   NaN
Name: uncertainty_avoidance, dtype: float64","26   NaN
26   NaN
Name: long_term_orientation, dtype: float64","26   NaN
26   NaN
Name: indulgence, dtype: float64",1,0.5689074481762861,1.0,0.8762547434601271,1.0,0.8803445812365582
PROJ-100,Project 100,South America,1,1,23,12,35,80,2,1,4,Low,Other,10,"10   NaN
10   NaN
Name: power_distance, dtype: float64","10   NaN
10   NaN
Name: individualism, dtype: float64","10   NaN
10   NaN
Name: masculinity, dtype: float64","10   NaN
10   NaN
Name: uncertainty_avoidance, dtype: float64","10   NaN
10   NaN
Name: long_term_orientation, dtype: float64","10   NaN
10   NaN
Name: indulgence, dtype: float64",1,0.45606734281168904,1.0,1.0,0.961596782211986,0.8852166788251834
